ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses,retorno6_meses,retorno3_meses,retorno1_mes
ABEV3,AMBEV S/A,29/12/2022,86436867000,15753833000,18412913000,"14,52",135466722000,1,"-0,875125319484","14,0675796695","-1,64056836687","-3,98834374499"
ALPA4,ALPARGATAS,29/12/2022,5512355000,683062222,23403000,"15,08",8127527000,1,"-59,0849419223","-21,2121212121","-29,1020216264","-9,97014925374"
AMER3,AMERICANAS,29/12/2022,14705555000,909774507,1165519000,"9,65",47084128000,1,"-68,8323426225","-28,145941921","-43,168433451","-8,61742424235"
ARZZ3,AREZZO CO,29/12/2022,2741961000,110186077,493801000,"78,25",5131922000,1,"4,44070390573","14,6957238286","-19,6763218269","-11,748876086"
ASAI3,ASSAI,29/12/2022,3980000000,1350256000,2896000000,"19,47",39089000000,1,"51,7402976037","36,7008213743","11,1521778351","-2,70719595898"
AZUL4,AZUL,29/12/2022,-19726752000,1264588466,1747430000,"11,01",17402236000,1,"-54,802955665","-11,0662358641","-25,2038043478","-10,3420195438"
B3SA3,B3,29/12/2022,20559657000,6099000000,5501567000,"13,21",45806400000,1,"22,9974824325","21,5157437207","1,42530257624","3,97487813228"
BBAS3,BRASIL,29/12/2022,168133312000,2865417020,36731922000,"34,73","2,089927595E+12",1,"34,9241001553","10,3981294829","-6,77644243969","-0,54193218931"
BBDC3,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"13,47","1,828731521E+12",1,"-6,22235628048","-5,68964510361","-17,1386906064","-1,98156701311"
BBDC4,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"15,15","1,828731521E+12",1,"-11,2941604298","-11,3656041454","-23,4036718507","-2,63998841706"
BBSE3,BBSEGURIDADE,29/12/2022,10047334000,2000000000,3844609000,"33,71",14397844000,1,"74,8777903249","34,463487277","26,8724124954","7,63090676933"
BEEF3,MINERVA,29/12/2022,1056831000,607283407,2273087000,"12,96",20221388000,1,"27,3982810403","-0,834781307191","3,34928229664","3,68000000033"
BPAC11,BTGP BANCO,29/12/2022,44207586000,11506119928,5923406000,"23,94",367168994000,1,"17,4965284608","9,72981888652","-2,58622275219","-3,97950681262"
BPAN4,BANCO PAN,29/12/2022,7213752000,1273192392,659390000,"6,07",56547200000,1,"-40,5972506312","3,50090180308","-9,39964039871","-11,9233272957"
BRAP4,BRADESPAR,29/12/2022,7434838000,393097000,-52026000,"29,72",8017832000,1,"34,2864908988","25,7994608398","33,6354541919","5,63030381851"
BRFS3,BRF SA,29/12/2022,10857054000,1078116849,210368000,"8,28",57742806000,1,"-63,2326820604","-39,0728476821","-35,7142857143","-12,1019108281"
BRML3,BR MALLS PAR,29/12/2022,11392188000,828274000,842056000,"8,3",18005279000,1,"0,447104163065","10,3723404256","-11,9830328738","-5,14285714279"
CASH3,MELIUZ,29/12/2022,790190000,865180443,-155632000,"1,18",1247034000,1,"-63,5802469137","9,25925925934","4,42477876103","5,35714285722"
CCRO3,CCR SA,29/12/2022,12454743000,2020000000,5238979000,"10,82",50784482000,1,"-3,88762472256","-11,6633111617","-11,6633111617","-8,38272650289"
CIEL3,CIELO,29/12/2022,14074509000,2716815061,2998070000,"5,24",100074287000,1,"142,093499281","46,0469408661","-0,195420711657","11,3005107375"
CMIG4,CEMIG,29/12/2022,22797430000,2201371000,5102422000,"11,14",54085360000,1,"24,939198089","13,5525540064","7,55983695936","0,813923840458"
CMIN3,CSN MINERACA,29/12/2022,12089845000,5485338838,3711673000,"4,08",28099792000,1,"-25,1649523665","19,1253285995","38,9195674905","5,83818596959"
COGN3,COGNA ON,29/12/2022,13289154000,1876606210,405666000,"2,12",25825690000,1,"-13,8211382116","-0,934579439725","-27,8911564626","-5,35714285762"
CPFE3,CPFL ENERGIA,29/12/2022,19185907000,1152254440,10594153000,"33,2",72470214000,1,"35,9339466091","7,51295336755","-1,65876777268","-4,87106017198"
CRFB3,CARREFOUR BR,29/12/2022,21665000000,2104765615,4955000000,"14,78",87919000000,1,"-1,15814622677","-10,3481218286","-23,16847321","-7,00354334099"
CSAN3,COSAN,29/12/2022,47493020000,1874070932,8402310000,"17,12",131954488000,1,"-19,2647271908","-5,93406593407","-1,49597238183","-5,04714364945"
CSNA3,SID NACIONAL,29/12/2022,21692851000,1326093947,4426482000,"14,55",86595892000,1,"-31,7327076191","6,06968452517","28,7512522853","3,91543035361"
CVCB3,CVC BRASIL,29/12/2022,190218000,277247309,-57044000,"4,49",3732732000,1,"-66,5424739194","-35,6733524352","-28,8431061805","-10,7355864805"
CYRE3,CYRELA REALT,29/12/2022,7870905000,399743000,699112000,"13,07",16321140000,1,"-13,9172604496","10,5752961084","-28,7738419617","-8,98328690834"
DXCO3,DEXCO,29/12/2022,6035184000,837059000,1348349000,"6,78",15625433000,1,"-47,8275319945","-20,9219735193","-16,5240511913","-6,52693157316"
ECOR3,ECORODOVIAS,29/12/2022,2631712000,696334000,1826187000,"4,45",19277195000,1,"-39,0921204009","-21,7814598833","-10,2926199869","2,25818318024"
EGIE3,ENGIE BRASIL,29/12/2022,9248206000,815927740,5193568000,"37,88",39605625000,1,"6,09383763762","-4,77100666417","0,449178601115","-3,48078944415"
ELET3,ELETROBRAS,29/12/2022,111017341000,2307099000,6274467000,"42,12",267830877000,1,"28,431953972","-8,83116883106","-1,97812427271","-11,3263157895"
EMBR3,EMBRAER,29/12/2022,14082568000,740465000,-654119000,"14,31",53129321000,1,"-42,3448831588","25,0874125875","22,8326180258","5,60885608861"
ENBR3,ENERGIAS BR,29/12/2022,12366216000,581165000,3220950000,"20,79",37252581000,1,"9,59665155438","1,36518771349","-4,76408611959","-2,02639019761"
